iter	RMSE
0	14207897.39
1	13393159.41
2	12743082.06
3	12057521.69
4	11433969.99
5	10827713.52
6	10304180.89
7	9772221.569
8	9308601.673
9	8831868.692
10	8378046.402
11	7942569.528
12	7516044.537
13	7115955.532
14	6802506.839
15	6496049.314
16	6179252.131
17	5889639.098
18	5606084.216
19	5352476.044
20	5089857.07
21	4858439.873
22	4652316.311
23	4457568.928
24	4258431.401
25	4085757.768
26	3926743.024
27	3779911.861
28	3618973.302
29	3487206.66
30	3359393.717
31	3250062.542
32	3139472.657
33	3017747.9
34	2923324.593
35	2819087.189
36	2727727.849
37	2635996.578
38	2553968.218
39	2470282.835
40	2401999.613
41	2332719.239
42	2280530.829
43	2231406.925
44	2177780.804
45	2110051.049
46	2049887.296
47	2005661.226
48	1959457.377
49	1918766.244
50	1877603.626
51	1831140.024
52	1791568.475
53	1760575.241
54	1729144.883
55	1690877.227
56	1649751.047
57	1609512.546
58	1574069.307
59	1546429.292
60	1526035.185
61	1499020.173
62	1468721.346
63	1446309.613
64	1425658.939
65	1407599.338
66	1390029.365
67	1377921.8
68	1363391.665
69	1345724.395
70	1326378.244
71	1314381.29
72	1296006.731
73	1284312.628
74	1271919.665
75	1263529.97
76	1247852.797
77	1234529.2
78	1223411.912
79	1211863.748
80	1199614.365
81	1191571.611
82	1187344.348
83	1175809.788
84	1168134.145
85	1157936.573
86	1148641.266
87	1141623.72
88	1137636.838
89	1124955.177
90	1112987.631
91	1104785.331
92	1096558.948
93	1091370.685
94	1080687.153
95	1074767.28
96	1068555.948
97	1060670.573
98	1053858.245
99	1047798.273
100	1039322.132
101	1031308.95
102	1024912.137
103	1020162.88
104	1011586.297
105	1001067.853
106	996003.1787
107	989208.9084
108	984632.0326
109	977977.3595
110	972629.6896
111	969168.2727
112	961375.3321
113	954934.5746
114	950175.9395
115	946260.3713
116	942638.118
117	934427.1715
118	924990.1524
119	915642.0012
120	907374.1287
121	901627.8696
122	891572.6385
123	887667.1915
124	881135.5293
125	875524.1726
126	872942.2378
127	869225.5478
128	863991.7639
129	857057.1281
130	852125.5228
131	845963.8302
132	841302.1431
133	835641.5032
134	828766.1273
135	822512.1323
136	819447.959
137	818852.0452
138	815265.4019
139	811151.5297
140	810097.381
141	803936.4937
142	802383.5431
143	794836.1564
144	794219.2842
145	793627.2574
146	793007.2769
147	788919.5672
148	788291.4121
149	782178.5025
150	777744.0521
151	777258.7695
152	776791.2168
153	769934.6758
154	769541.1782
155	765435.2911
156	761184.6772
157	755745.7625
158	751411.9901
159	746079.3866
160	739617.722
161	734623.4511
162	729494.5329
163	726770.3433
164	722783.8695
165	717457.5121
166	717094.2056
167	713671.6578
168	708596.2794
169	705281.5792
170	700402.9196
171	700074.5905
172	695094.4065
173	694737.3196
174	694443.0487
175	694168.4951
176	688803.154
177	685718.5665
178	681717.0735
179	677381.4811
180	672854.8193
181	669618.3184
182	665768.731
183	662169.0039
184	658061.3377
185	654403.8047
186	650377.048
187	645829.7129
188	641505.8128
189	637323.7055
190	634009.0486
191	630864.627
192	627846.512
193	623758.3986
194	621036.4057
195	618813.193
196	616807.8817
197	616537.1122
198	616277.0385
199	611973.4694
200	608065.6109
201	604628.9316
202	602497.443
203	602252.7619
204	598607.2255
205	595348.2301
206	592443.357
207	589908.6458
208	587186.7797
209	584216.3043
210	580664.1298
211	578358.6668
212	575721.1092
213	573579.1672
214	573311.625
215	573073.5852
216	570258.9571
217	567719.4957
218	564842.9382
219	562546.62
220	562335.4728
221	558745.2352
222	556471.6752
223	553072.571
224	551419.0205
225	548838.13
226	546836.1595
227	544937.1989
228	541056.4018
229	538896.2316
230	537106.9518
231	534693.1866
232	532897.2739
233	531506.7582
234	528907.5931
235	526349.2073
236	524473.4986
237	522736.7246
238	520526.2279
239	520360.0143
240	517179.894
241	517021.4318
242	514415.1611
243	511636.4809
244	509661.2301
245	507526.5168
246	504107.5491
247	502675.8074
248	500945.5809
249	498183.069
250	495526.4385
251	493224.8513
252	490034.3676
253	487284.6268
254	484270.7753
255	482274.1739
256	480508.7671
257	478334.3872
258	475943.9162
259	473888.7299
260	473761.1473
261	470848.4824
262	469381.2798
263	466998.1338
264	464497.552
265	462391.5397
266	460497.3478
267	458943.9542
268	457379.3487
269	455410.6986
270	453691.0699
271	451524.1394
272	450316.7916
273	448688.0055
274	447152.2722
275	444847.8005
276	442165.9026
277	440206.374
278	438043.4161
279	437908.7301
280	436084.575
281	435953.0149
282	435832.7941
283	434296.7367
284	434127.7691
285	432380.9092
286	430982.7745
287	430127.8202
288	428897.1976
289	428016.5662
290	426873.4456
291	426778.3529
292	425953.6346
293	424373.2632
294	422541.1162
295	422448.4772
296	420817.0892
297	420734.5584
298	419336.9544
299	419170.8413
300	417741.1699
301	416172.7745
302	414326.0966
303	414171.8371
304	412840.4109
305	412708.7211
306	410693.875
307	409795.9395
308	408152.5254
309	406455.8113
310	405226.8534
311	403838.9979
312	402559.2613
313	401199.5955
314	399679.0696
315	398034.5483
316	396721.6361
317	396616.5617
318	396527.4342
319	395075.637
320	393595.8157
321	392484.2513
322	391469.539
323	389051.2096
324	387115.6399
325	385985.8709
326	385901.469
327	385832.4201
328	384631.2317
329	383203.119
330	381721.2233
331	380676.4549
332	380063.4412
333	378632.165
334	377769.8208
335	377648.3794
336	377377.0946
337	375595.8419
338	375507.7971
339	374282.7157
340	372992.6468
341	371790.4088
342	370074.6724
343	369069.2078
344	367651.5615
345	366273.4892
346	365764.2561
347	364482.1968
348	363067.7692
349	362119.8762
350	361404.6588
351	361332.373
352	360044.7529
353	358219.5721
354	356276.4639
355	355213.583
356	354138.5454
357	352885.0376
358	351332.3192
359	350090.2502
360	348670.0852
361	348624.2929
362	346703.5598
363	345567.518
364	344723.8181
365	343562.4874
366	343190.9138
367	342154.2331
368	340792.8615
369	338953.5882
370	337567.8938
371	336363.5769
372	335949.9399
373	335003.1858
374	334780.5884
375	333741.5713
376	332756.6748
377	331985.874
378	331232.9674
379	330847.5744
380	329945.1323
381	329197.3301
382	328968.2738
383	327648.8324
384	326541.8098
385	325301.7537
386	323965.7404
387	322961.5041
388	321900.8925
389	321094.4414
390	320414.1561
391	319353.9266
392	319297.4567
393	317885.3942
394	316504.0984
395	315073.5419
396	314246.3247
397	313345.4414
398	312194.4512
399	311348.1176
400	310355.3241
401	309602.5826
402	308928.2339
403	308309.3024
404	307399.965
405	306510.3751
406	305297.2608
407	303952.6608
408	303283.6433
409	302754.2189
410	301888.9471
411	301116.2165
412	300090.2369
413	299662.0312
414	298857.1857
415	298565.2541
416	298013.6162
417	297825.7792
418	296799.2729
419	295762.8594
420	294933.8949
421	294081.6739
422	293627.0703
423	293363.059
424	292532.1926
425	291653.0373
426	291310.9491
427	290220.2648
428	290189.8596
429	290160.5485
430	289212.5057
431	288252.0227
432	287390.5021
433	286523.8055
434	286036.6063
435	285068.6546
436	284209.3275
437	283904.4232
438	282961.4822
439	282241.0186
440	281785.4075
441	281143.446
442	280613.8715
443	279544.2504
444	278609.4733
445	277552.0827
446	277099.8656
447	275720.616
448	275142.5896
449	275114.8023
450	274451.2066
451	273690.2504
452	273043.8657
453	272787.1679
454	272760.5055
455	272108.6706
456	272092.9583
457	271174.2658
458	270320.7248
459	269349.9754
460	268352.0125
461	267583.9468
462	266689.0012
463	266021.9468
464	265997.9787
465	265684.3958
466	265022.0621
467	264359.1856
468	263747.5827
469	263725.1281
470	262819.3943
471	262417.7228
472	261852.929
473	261768.4052
474	261160.1036
475	260315.0649
476	259628.1293
477	259600.3911
478	258875.3675
479	258855.9038
480	258378.8625
481	257663.8319
482	257246.6732
483	256667.5999
484	256162.4918
485	256144.9085
486	255752.8332
487	254553.0979
488	253905.6904
489	253308.1136
490	252499.3146
491	251658.1525
492	250947.8833
493	250551.1431
494	250110.8347
495	250005.9293
496	249792.1202
497	249697.7222
498	249457.4873
499	248764.7688
500	248222.1193
501	247291.393
502	246738.4293
503	246183.9933
504	245756.4557
505	245229.3133
506	244514.3885
507	243553.5158
508	243305.8761
509	242872.9344
510	242147.3397
511	241915.4138
512	241488.6842
513	241131.0157
514	240686.6735
515	240091.6075
516	239344.882
517	238756.9525
518	237701.0412
519	237238.6887
520	236717.1081
521	236190.7912
522	235798.9498
523	235316.8707
524	234766.8689
525	234649.1479
526	234259.7947
527	233604.9783
528	233425.2328
529	233094.2075
530	232596.5084
531	231805.285
532	231751.5485
533	230997.1258
534	230549.6127
535	229835.3339
536	229298.3513
537	228336.3817
538	227905.6868
539	227390.6161
540	226980.728
541	226578.2154
542	225776.9042
543	225657.248
544	225448.5836
545	224989.6139
546	224688.8373
547	223742.15
548	223343.7042
549	223048.753
550	222465.066
551	221946.7655
552	221509.7462
553	220718.2984
554	220163.3644
555	219760.0956
556	219461.9871
557	218992.5831
558	218697.9772
559	218096.8158
560	217589.8068
561	216680.1036
562	216403.8779
563	215991.6609
564	215740.7357
565	215457.6948
566	215214.5927
567	215185.9779
568	214578.7231
569	213927.774
570	213132.4186
571	213033.7995
572	212473.2791
573	211909.7146
574	211810.2813
575	211486.4141
576	211263.5863
577	210519.5399
578	209755.6905
579	209192.6146
580	209028.1716
581	208597.1656
582	208325.0874
583	207988.7875
584	207112.101
585	206808.7723
586	206338.9053
587	205843.0005
588	205337.685
589	204786.4493
590	204114.5783
591	203377.309
592	203052.395
593	202669.4007
594	202075.2382
595	201822.557
596	201644.5054
597	201498.8602
598	201199.3553
599	200669.323
600	200429.5028
601	199943.7378
602	199872.9555
603	199480.9989
604	199033.1058
605	198860.4844
606	198407.3898
607	197861.365
608	197541.7393
609	197181.2256
610	196457.7542
611	196005.6
612	195444.9012
613	195240.0533
614	195194.7046
615	195141.024
616	194887.6457
617	194166.9447
618	193647.6336
619	193237.3366
620	192896.072
621	192576.8164
622	192120.3934
623	191801.3984
624	191748.5306
625	191434.4601
626	190900.9918
627	190504.2349
628	190111.2368
629	189553.1058
630	189172.8024
631	188804.1593
632	188286.282
633	188275.9616
634	187727.2128
635	187295.9396
636	187281.1205
637	186862.8593
638	186710.9958
639	186452.2763
640	186265.1753
641	185889.851
642	185589.4805
643	185376.9632
644	184862.438
645	184475.4559
646	184108.1009
647	183554.5839
648	183202.926
649	182777.2609
650	182760.1458
651	182381.1803
652	182029.4377
653	181608.0822
654	181593.2552
655	181141.4089
656	180721.8969
657	180539.0133
658	180112.1736
659	179451.1298
660	179237.1308
661	178895.588
662	178808.0561
663	178483.8831
664	177849.0731
665	177775.0259
666	177754.6243
667	177741.5839
668	177136.07
669	176692.6384
670	176000.1579
