iter	Passed	Remaining
0	20	13429
1	31	10607
2	42	9485
3	53	8898
4	67	8978
5	74	8213
6	84	8057
7	95	7936
8	105	7741
9	116	7671
10	121	7287
11	132	7252
12	144	7324
13	155	7301
14	169	7429
15	181	7411
16	189	7304
17	199	7221
18	204	7017
19	209	6828
20	218	6759
21	226	6695
22	237	6704
23	247	6678
24	256	6624
25	265	6584
26	273	6529
27	282	6483
28	290	6433
29	300	6418
30	311	6431
31	321	6429
32	333	6445
33	353	6614
34	368	6701
35	389	6864
36	405	6946
37	419	6980
38	429	6962
39	440	6942
40	461	7089
41	474	7100
42	490	7163
43	508	7242
44	521	7252
45	534	7262
46	551	7317
47	563	7314
48	576	7314
49	589	7323
50	607	7382
51	618	7359
52	628	7333
53	640	7314
54	651	7293
55	664	7302
56	682	7350
57	694	7337
58	707	7339
59	722	7361
60	730	7306
61	742	7289
62	752	7258
63	763	7241
64	774	7223
65	788	7224
66	802	7232
67	814	7219
68	824	7196
69	836	7180
70	848	7174
71	859	7151
72	871	7136
73	882	7121
74	893	7098
75	909	7123
76	920	7101
77	930	7077
78	943	7070
79	954	7049
80	964	7028
81	978	7025
82	992	7033
83	1001	6996
84	1010	6968
85	1020	6940
86	1030	6917
87	1040	6895
88	1051	6875
89	1060	6843
90	1068	6811
91	1078	6787
92	1087	6758
93	1103	6771
94	1112	6743
95	1122	6720
96	1131	6696
97	1141	6673
98	1149	6643
99	1160	6625
100	1169	6600
101	1179	6579
102	1190	6565
103	1199	6540
104	1213	6541
105	1226	6539
106	1238	6527
107	1250	6518
108	1260	6499
109	1273	6494
110	1282	6471
111	1292	6450
112	1301	6424
113	1311	6406
114	1322	6392
115	1334	6383
116	1344	6365
117	1354	6349
118	1364	6327
119	1379	6332
120	1403	6378
121	1419	6387
122	1430	6373
123	1440	6355
124	1451	6340
125	1461	6323
126	1471	6304
127	1480	6282
128	1491	6267
129	1500	6244
130	1509	6220
131	1518	6201
132	1527	6177
133	1536	6156
134	1544	6133
135	1554	6115
136	1564	6097
137	1577	6094
138	1589	6082
139	1599	6065
140	1611	6059
141	1620	6036
142	1634	6035
143	1646	6024
144	1692	6138
145	1701	6117
146	1710	6098
147	1731	6119
148	1742	6103
149	1753	6089
150	1763	6071
151	1772	6050
152	1784	6040
153	1793	6020
154	1803	6003
155	1812	5982
156	1821	5961
157	1829	5939
158	1838	5920
159	1848	5903
160	1859	5889
161	1869	5873
162	1877	5850
163	1885	5829
164	1893	5806
165	1900	5783
166	1911	5768
167	1925	5766
168	1936	5752
169	1945	5732
170	1955	5716
171	1966	5704
172	1974	5683
173	1983	5664
174	1990	5642
175	1999	5622
176	2007	5602
177	2017	5587
178	2026	5570
179	2035	5551
180	2043	5531
181	2053	5516
182	2061	5496
183	2070	5479
184	2078	5461
185	2088	5445
186	2097	5429
187	2106	5411
188	2116	5398
189	2125	5379
190	2137	5371
191	2147	5358
192	2156	5342
193	2165	5324
194	2175	5310
195	2184	5294
196	2192	5275
197	2201	5259
198	2209	5240
199	2219	5227
200	2229	5214
201	2237	5196
202	2247	5181
203	2257	5168
204	2266	5151
205	2284	5157
206	2293	5140
207	2303	5127
208	2312	5111
209	2321	5096
210	2331	5082
211	2341	5068
212	2349	5052
213	2359	5038
214	2367	5021
215	2376	5005
216	2386	4992
217	2396	4979
218	2407	4968
219	2416	4954
220	2426	4940
221	2436	4928
222	2447	4916
223	2456	4902
224	2465	4886
225	2485	4893
226	2494	4879
227	2505	4867
228	2515	4855
229	2525	4843
230	2535	4828
231	2547	4821
232	2557	4807
233	2566	4792
234	2575	4778
235	2584	4764
236	2593	4748
237	2602	4735
238	2611	4721
239	2620	4705
240	2628	4690
241	2636	4674
242	2646	4660
243	2654	4645
244	2662	4628
245	2672	4617
246	2681	4603
247	2690	4588
248	2699	4575
249	2710	4564
250	2720	4551
251	2728	4536
252	2738	4524
253	2748	4512
254	2756	4497
255	2765	4483
256	2774	4470
257	2783	4455
258	2792	4442
259	2802	4429
260	2811	4415
261	2819	4401
262	2827	4387
263	2837	4374
264	2846	4360
265	2854	4346
266	2864	4334
267	2874	4322
268	2883	4308
269	2892	4295
270	2901	4283
271	2910	4269
272	2921	4259
273	2930	4245
274	2939	4232
275	2948	4219
276	2957	4206
277	2965	4192
278	2973	4178
279	2985	4168
280	2993	4154
281	3001	4140
282	3010	4127
283	3018	4113
284	3027	4100
285	3035	4086
286	3044	4072
287	3055	4063
288	3065	4051
289	3073	4037
290	3082	4024
291	3090	4011
292	3099	3998
293	3108	3985
294	3117	3973
295	3125	3960
296	3134	3946
297	3143	3934
298	3152	3921
299	3160	3908
300	3169	3896
301	3180	3885
302	3189	3874
303	3199	3862
304	3208	3850
305	3216	3836
306	3225	3824
307	3234	3812
308	3243	3799
309	3252	3787
310	3260	3774
311	3269	3762
312	3278	3750
313	3287	3737
314	3295	3724
315	3303	3710
316	3311	3698
317	3320	3686
318	3328	3672
319	3338	3661
320	3347	3649
321	3356	3637
322	3365	3625
323	3373	3612
324	3382	3600
325	3390	3587
326	3399	3576
327	3407	3563
328	3416	3551
329	3425	3540
330	3436	3530
331	3455	3528
332	3468	3520
333	3480	3511
334	3493	3503
335	3505	3495
336	3516	3485
337	3530	3478
338	3540	3467
