,name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Traits,PlayStyles,PlayStyles +,Number of playstyles,
0,Vini Jr. LW ST,22,89,94,"Real Madrid
2018 ~ 2027",238794,"176cm / 5'9""",73kg / 161lbs,Right,89,LW,5,"Jul 12, 2018",N/A,€158.5M,€310K,€336.8M,369,78,89,50,80,72,398,92,77,62,77,90,454,95,95,94,86,84,378,76,74,84,64,80,317,58,26,87,81,65,79,75,32,25,18,36,5,7,7,7,10,2027,442,4,5,High,High,5,Lean (170-185),Yes,95,82,78,90,29,68,,Finesse Shot Chip Shot Rapid Flair First Touch Trivela,Quick Step +,7,
1,A. Lunin GK,24,76+2,83+2,"Real Madrid
2018 ~ 2024",243952,"191cm / 6'3""",83kg / 183lbs,Right,76,GK,7,"Jul 2, 2018",N/A,€13M,€67K,€29.3M,72,15,8,12,25,12,81,11,14,15,26,15,210,39,35,36,75+2,25,217,56+2,61+1,32,61,7,131,22,19,11,60,19,56,46,22,13,11,375,76+2,73+2,74+2,75+2,77+2,1132,412,3,1,Medium,Medium,1,Normal (185+),Yes,76,73,74,77,37,75,,Footwork Rush Out,,2,
2,J. Bellingham CAM CM,20,87,92,"Real Madrid
2023 ~ 2029",252371,"186cm / 6'1""",75kg / 165lbs,Right,89,CAM,5,"Jul 1, 2023",N/A,€118.5M,€190K,€251.8M,383,66,86,69,88,74,388,87,73,56,86,86,402,78,76,81,88,79,407,79,80,93,75,80,404,85,82,87,86,64,85,233,77,79,77,48,14,11,10,5,8,2265,486,4,4,High,High,4,Lean (185+),Yes,77,82,81,86,78,82,,Intercept Slide Tackle Technical Flair,Relentless +,5,
3,R. Højlund ST,20,77,89,"Manchester United
2023 ~ 2028",259399,"191cm / 6'3""",79kg / 174lbs,Left,79,ST,12,"Aug 5, 2023",N/A,€25.5M,€77K,€53.6M,325,38,78,70,71+1,68,306,76+1,58,48,49,75-1,380,84,86,69,78+3,63,403,82+4,88,78+3,85,70,322,82+2,28,79+1,63+5,70,75+3,79,32+5,28,19,50,12,8,9,14,7,1865,409,3,3,Medium,High,1,Normal (185+),No,85,76,58,74,33,83,,Rapid Flair Quick Step,,3,
4,K. Havertz CAM RW ST,24,82,87,"Arsenal
2023 ~ 2028",235790,"190cm / 6'3""",82kg / 181lbs,Left,85,CAM,5,"Jun 28, 2023",N/A,€46M,€110K,€88.6M,398,74,81,80,83,80,385,84,84,53,79,85,382,75,81,75,83,68,382,76,82,77,69,78,327,52,38,83,81,73,84,123,39,46,38,47,6,8,11,10,12,2044,432,4,4,Medium,Medium,3,Unique,Yes,78,79,79,83,45,68,,Chip Shot Technical First Touch Trivela,,4,
5,Rodrygo RW LW ST,22,85,91,"Real Madrid
2019 ~ 2028",243812,"174cm / 5'9""",64kg / 141lbs,Right,86,CAM,6,"Jul 1, 2019",N/A,€86.5M,€210K,€194.6M,379,79,86,67,80,67,399,87,80,73,73,86,432,89,88,87,84,84,367,76,76,81,57,77,320,53,21,82,82,82,83,88,24,34,30,42,9,8,12,8,5,2027,428,4,4,Medium,Medium,3,Lean (170-185),Yes,88,81,79,86,31,63,,Finesse Shot Dead Ball Technical Flair,,4,
6,J. Bellingham CAM CM,17,64,82,"Sunderland
2023 ~ 2028",270964,"187cm / 6'2""",73kg / 161lbs,Right,66,CAM,18,"Jun 24, 2023",N/A,€1.5M,€1K,€3.8M,275,51,52,58,67,47,301,68,55,44,65,69,331,64,68,68,61,70,310,57,65,69,63,56,282,56,55,62,64,45,66,175,57,61,57,59,10,10,13,15,11,1733,370,3,3,Medium,Medium,1,Lean (185+),No,66,54,61,68,58,63,,,,0,
7,T. Kubo RW ST CAM,22,81,87,"Real Sociedad
2022 ~ 2027",237681,"173cm / 5'8""",64kg / 141lbs,Left,83,CAM,6,"Jul 19, 2022",N/A,€41.5M,€40K,€95.5M,352,77,81,49,78,67,390,83,75,74,74,84,415,89,79,85,79,83,349,73,69,74,59,74,289,43,28,79,76,63,72,129,40,43,46,48,6,7,15,10,10,1972,419,4,4,Medium,Medium,3,Lean (170-185),Yes,84,76,76,83,40,60,,Finesse Shot Technical Flair First Touch,,4,
8,A. Güler CAM CM,18,77,88,"Real Madrid
2023 ~ 2029",264309,"175cm / 5'9""",70kg / 154lbs,Left,79,CAM,11,"Jul 6, 2023",N/A,€22M,€41K,€49.5M,340,80,68,41,81,70,403,83,84,76,79,81,380,75,69,82,69,85,308,72,50,70,43,73,316,42,55,68,80,71,77,155,52,57,46,58,13,10,11,14,10,1960,405,3,4,High,Medium,1,Lean (170-185),Yes,72,70,80,81,52,50,,Finesse Shot Pinged Pass Long Ball Pass Whipped Cross Technical Flair,,6,
9,W. Zaïre-Emery CM CDM,17,78,90,"Paris Saint Germain
2022 ~ 2025",270673,"178cm / 5'10""",68kg / 150lbs,Right,80,CM,12,"Jul 15, 2022",N/A,€32M,€9K,€65.6M,324,66,62,66,81,49,353,77,64,53,80,79,392,80,78,74,76,84,377,75,80,81,75,66,364,76,77,74,78,59,77,224,71,80,73,55,14,11,7,8,15,2089,449,3,3,Medium,High,1,Normal (170-185),No,79,65,75,78,75,77,,Press Proven Quick Step,,2,
10,S. Giménez ST,22,80,85,"Feyenoord
2022 ~ 2027",245152,"182cm / 6'0""",69kg / 152lbs,Left,82,ST,5,"Jul 29, 2022",N/A,€33M,€21K,€48.7M,371,64,83,80,74,70,348,77,72,52,69,78,371,77,75,75,74,70,400,83,82,80,79,76,371,78,51,85,76,81,78,116,55,39-10,22-10,48,6,14,12,6,10,2025,432,4,3,High,Low,2,Normal (170-185),Yes,76,81,70,77,49,79,,Chip Shot Power Header,,2,
11,K. Mainoo CDM CM CAM,18,65,87,"Manchester United
2022 ~ 2027",269136,"184cm / 6'0""",80kg / 176lbs,Right,66,CAM,22,"May 16, 2022",N/A,€2.2M,€6K,€6.4M,283,48,55,62,66,52,300,68,63,41,64,64,375,77,72,77,65,84,323,64,76,67,68,48,300,65,62,60,62,51,75,189,65,63,61,49,14,11,10,5,9,1819,389,2,3,High,High,1,Lean (170-185),No,74,55,60,69,63,68,,Long Ball Pass Press Proven Trivela,,3,
12,K. Kvaratskhelia LW RW,22,86,92,"Napoli
2022 ~ 2027",247635,"183cm / 6'0""",70kg / 154lbs,Right,87,CAM,6,"Jul 1, 2022",N/A,€109M,€95K,€207.1M,369,78,82,62,83,64,400,89,82,65,76,88,409,83,84,85,84,73,387,78,77,79,70,83,337,62,40,84,86,65,82,111,38,39,34,54,9,15,8,14,8,2067,444,5,5,Medium,Medium,2,Normal (170-185),Yes,84,80,81,87,41,71,,Finesse Shot Pinged Pass Whipped Cross Technical Flair Trickster Trivela,,7,
